Customer ID,Customer Name,Ship Mode,Category,Sub-Category,Product Name,Sales,Order Date
RB-19570,Rob Beeghly,First Class,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,7.92,14-01-2018
TP-21565,Tracy Poddar,First Class,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,169.064,14-01-2018
TP-21565,Tracy Poddar,First Class,Office Supplies,Storage,Mobile Personal File Cube,168.624,14-01-2018
BH-11710,Brosina Hoffman,Standard Class,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",18.336,14-01-2018
BH-11710,Brosina Hoffman,Standard Class,Office Supplies,Paper,Xerox 1931,36.288,14-01-2018
BH-11710,Brosina Hoffman,Standard Class,Technology,Phones,iHome FM Clock Radio with Lightning Dock,111.984,14-01-2018
BH-11710,Brosina Hoffman,Standard Class,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,5.97,14-01-2018
BH-11710,Brosina Hoffman,Standard Class,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,2.508,14-01-2018
SO-20335,Sean O'Donnell,Standard Class,Office Supplies,Paper,Xerox 19,154.9,14-01-2018
RW-19690,Robert Waldorf,First Class,Office Supplies,Appliances,Belkin F9M820V08 8 Outlet Surge,34.384,15-01-2018
RW-19690,Robert Waldorf,First Class,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1924.16,15-01-2018
TB-21250,Tim Brockman,First Class,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",32.784,15-01-2018
TB-21250,Tim Brockman,First Class,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,47.984,15-01-2018
TB-21250,Tim Brockman,First Class,Technology,Accessories,"Maxell 74 Minute CDR, 10/Pack",62.592,15-01-2018
TB-21250,Tim Brockman,First Class,Office Supplies,Binders,Acco D-Ring Binder w/DublLock,4.276,15-01-2018
SC-20095,Sanjit Chand,Standard Class,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",12.7,15-01-2018
TT-21460,Tonja Turnell,Standard Class,Office Supplies,Art,Newell 347,21.4,15-01-2018
JO-15145,Jack O'Briant,Same Day,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",27.92,16-01-2018
JO-15145,Jack O'Briant,Same Day,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",399.672,16-01-2018
AR-10540,Andy Reiter,Second Class,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,5443.96,16-01-2018
AR-10540,Andy Reiter,Second Class,Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,302.67,16-01-2018
AR-10540,Andy Reiter,Second Class,Office Supplies,Paper,"TOPS Money Receipt Book, Consecutively Numbered in Red,",56.07,16-01-2018
DL-12865,Dan Lawera,Second Class,Office Supplies,Labels,Avery 510,6,19-01-2018
RM-19375,Raymond Messe,Standard Class,Office Supplies,Paper,Xerox 191,79.92,19-01-2018
RM-19375,Raymond Messe,Standard Class,Office Supplies,Paper,Xerox 1881,12.28,19-01-2018
RM-19375,Raymond Messe,Standard Class,Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,542.94,19-01-2018
RM-19375,Raymond Messe,Standard Class,Office Supplies,Envelopes,Poly String Tie Envelopes,2.04,19-01-2018
NS-18505,Neola Schneider,Second Class,Technology,Phones,Wilson Electronics DB Pro Signal Booster,429.6,19-01-2018
NS-18505,Neola Schneider,Second Class,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,31.968,19-01-2018
NS-18505,Neola Schneider,Second Class,Furniture,Chairs,Global Comet Stacking Arm Chair,887.271,19-01-2018
NS-18505,Neola Schneider,Second Class,Office Supplies,Paper,Strathmore Photo Mount Cards,21.696,19-01-2018
ML-17410,Maris LaWare,First Class,Office Supplies,Labels,Avery File Folder Labels,11.52,20-01-2018
CV-12805,Cynthia Voltz,Second Class,Furniture,Chairs,Global Deluxe Steno Chair,207.846,20-01-2018
TM-21010,Tamara Manning,Standard Class,Office Supplies,Art,Staples in misc. colors,24.2,20-01-2018
TM-21010,Tamara Manning,Standard Class,Technology,Phones,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,359.976,20-01-2018
TH-21100,Thea Hendricks,Standard Class,Technology,Phones,RCA Visys Integrated PBX 8-Line Router,160.776,20-01-2018
JF-15490,Jeremy Farry,Standard Class,Office Supplies,Art,Newell 326,3.52,20-01-2018
DS-13030,Darrin Sayre,Standard Class,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,242.94,21-01-2018
DS-13030,Darrin Sayre,Standard Class,Technology,Accessories,Logitech Illuminated - Keyboard,179.97,21-01-2018
DS-13030,Darrin Sayre,Standard Class,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,99.696,21-01-2018
DS-13030,Darrin Sayre,Standard Class,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,27.936,21-01-2018
DS-13030,Darrin Sayre,Standard Class,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,84.98,21-01-2018
DS-13030,Darrin Sayre,Standard Class,Office Supplies,Binders,Acco Translucent Poly Ring Binders,18.72,21-01-2018
BE-11410,Bobby Elias,Standard Class,Office Supplies,Envelopes,Airmail Envelopes,268.576,21-01-2018
PS-19045,Penelope Sewall,Standard Class,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",348.208,21-01-2018
PS-19045,Penelope Sewall,Standard Class,Office Supplies,Binders,GBC Recycled VeloBinder Covers,35.784,21-01-2018
MH-18115,Mick Hernandez,Standard Class,Office Supplies,Binders,Avery Durable Binders,14.4,21-01-2018
MH-18115,Mick Hernandez,Standard Class,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,619.95,21-01-2018
MH-18115,Mick Hernandez,Standard Class,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",89.52,21-01-2018
MH-18115,Mick Hernandez,Standard Class,Technology,Machines,I.R.I.S IRISCard Anywhere 5 Card Scanner,350.973,21-01-2018
MH-18115,Mick Hernandez,Standard Class,Technology,Phones,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",164.99,21-01-2018
EH-13765,Edward Hooks,Second Class,Office Supplies,Fasteners,Staples,15.12,22-01-2018
EH-13765,Edward Hooks,Second Class,Office Supplies,Art,Newell 348,7.872,22-01-2018
AD-10180,Alan Dominguez,Standard Class,Technology,Copiers,Canon Image Class D660 Copier,2999.95,22-01-2018
AD-10180,Alan Dominguez,Standard Class,Office Supplies,Storage,Advantus Rolling Storage Box,51.45,22-01-2018
AD-10180,Alan Dominguez,Standard Class,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),11.96,22-01-2018
AD-10180,Alan Dominguez,Standard Class,Office Supplies,Storage,Tennsco Single-Tier Lockers,1126.02,22-01-2018
MC-17605,Matt Connell,First Class,Furniture,Tables,Balt Solid Wood Rectangular Table,210.98,23-01-2018
HP-14815,Harold Pawlan,Standard Class,Technology,Accessories,Logitech Wireless Anywhere Mouse MX for PC and Mac,95.984,23-01-2018
HP-14815,Harold Pawlan,Standard Class,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,4.938,23-01-2018
CS-12250,Chris Selesnick,Standard Class,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,19.68,23-01-2018
CS-12250,Chris Selesnick,Standard Class,Office Supplies,Paper,Xerox 212,25.92,23-01-2018
CS-12250,Chris Selesnick,Standard Class,Office Supplies,Paper,Xerox 192,6.48,23-01-2018
CS-12250,Chris Selesnick,Standard Class,Technology,Phones,Griffin GC17055 Auxiliary Audio Cable,86.352,23-01-2018
KD-16495,Keith Dawkins,Standard Class,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",25.86,24-01-2018
KD-16495,Keith Dawkins,Standard Class,Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,276.784,24-01-2018
KD-16495,Keith Dawkins,Standard Class,Technology,Phones,Jensen SMPS-640 - speaker phone,110.352,24-01-2018
TP-21130,Theone Pippenger,Standard Class,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,5.67,24-01-2018
CG-12520,Claire Gute,First Class,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",18.16,26-01-2018
CJ-12010,Caroline Jumper,Standard Class,Office Supplies,Fasteners,Binder Clips by OIC,11.84,26-01-2018
CA-11965,Carol Adams,Second Class,Office Supplies,Art,Newell 311,15.47,26-01-2018
CA-11965,Carol Adams,Second Class,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,26-01-2018
BD-11500,Bradley Drucker,Standard Class,Furniture,Furnishings,Artistic Insta-Plaque,62.72,26-01-2018
BD-11500,Bradley Drucker,Standard Class,Technology,Phones,Samsung Galaxy Mega 6.3,2939.93,26-01-2018
JH-15820,John Huston,Second Class,Office Supplies,Art,Newell 312,14.016,27-01-2018
JH-15820,John Huston,Second Class,Technology,Accessories,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,71.976,27-01-2018
JH-15820,John Huston,Second Class,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,107.982,27-01-2018
TG-21310,Toby Gnade,Standard Class,Technology,Phones,Jensen SMPS-640 - speaker phone,137.94,27-01-2018
BT-11305,Beth Thompson,Second Class,Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display,239.97,28-01-2018
BT-11305,Beth Thompson,Second Class,Furniture,Furnishings,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",37.74,28-01-2018
GB-14575,Giulietta Baptist,Standard Class,Office Supplies,Paper,Xerox 1934,279.9,28-01-2018
CL-12700,Craig Leslie,Standard Class,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,449.91,28-01-2018
BD-11770,Bryan Davis,First Class,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.768,29-01-2018
CK-12595,Clytie Kelty,Standard Class,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",12.128,29-01-2018
VG-21790,Vivek Gonzalez,Standard Class,Office Supplies,Art,Newell 339,8.34,29-01-2018
VG-21790,Vivek Gonzalez,Standard Class,Office Supplies,Supplies,Acme Office Executive Series Stainless Steel Trimmers,8.57,29-01-2018
VG-21790,Vivek Gonzalez,Standard Class,Office Supplies,Binders,Clear Mylar Reinforcing Strips,119.616,29-01-2018
RD-19585,Rob Dowd,Standard Class,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,5.22,29-01-2018
MM-17920,Michael Moore,Same Day,Office Supplies,Storage,Space Solutions Commercial Steel Shelving,129.3,30-01-2018
SZ-20035,Sam Zeldin,First Class,Technology,Phones,Mitel 5320 IP Phone VoIP phone,604.768,30-01-2018
EB-13870,Emily Burns,Standard Class,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",419.136,30-01-2018
BV-11245,Benjamin Venier,Standard Class,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,18.28,30-01-2018
BV-11245,Benjamin Venier,Standard Class,Technology,Phones,AT&T 841000 Phone,207,30-01-2018
BV-11245,Benjamin Venier,Standard Class,Office Supplies,Binders,GBC Instant Report Kit,32.35,30-01-2018
BV-11245,Benjamin Venier,Standard Class,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,7.71,30-01-2018
BV-11245,Benjamin Venier,Standard Class,Office Supplies,Art,Boston 19500 Mighty Mite Electric Pencil Sharpener,40.3,30-01-2018
BV-11245,Benjamin Venier,Standard Class,Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",34.58,30-01-2018
EH-14125,Eugene Hildebrand,Standard Class,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",12.74,30-01-2018
EH-14125,Eugene Hildebrand,Standard Class,Office Supplies,Art,Newell 338,8.82,30-01-2018
EH-14125,Eugene Hildebrand,Standard Class,Furniture,Chairs,Novimex Swivel Fabric Task Chair,120.784,30-01-2018
LP-17095,Liz Preis,Standard Class,Furniture,Tables,Balt Split Level Computer Training Table,69.375,30-01-2018
LP-17095,Liz Preis,Standard Class,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,31.68,30-01-2018
LP-17095,Liz Preis,Standard Class,Technology,Phones,Samsung Galaxy S4,2003.168,30-01-2018
LP-17095,Liz Preis,Standard Class,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",9.344,30-01-2018
DW-13585,Dorothy Wardle,First Class,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,02-02-2018
DW-13585,Dorothy Wardle,First Class,Office Supplies,Paper,Xerox 1916,78.304,02-02-2018
DW-13585,Dorothy Wardle,First Class,Office Supplies,Fasteners,Staples,21.456,02-02-2018
JL-15835,John Lee,Standard Class,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",86.26,02-02-2018
JL-15835,John Lee,Standard Class,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",139.04,02-02-2018
JL-15835,John Lee,Standard Class,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,46.8,02-02-2018
BO-11350,Bill Overfelt,Standard Class,Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,210.58,02-02-2018
BO-11350,Bill Overfelt,Standard Class,Office Supplies,Binders,GBC Durable Plastic Covers,30.96,02-02-2018
BO-11350,Bill Overfelt,Standard Class,Technology,Machines,"HP Officejet Pro 8600 e-All-In-One Printer, Copier, Scanner, Fax",239.984,02-02-2018
RD-19810,Ross DeVincentis,Second Class,Office Supplies,Paper,Xerox 2,5.184,03-02-2018
RD-19810,Ross DeVincentis,Second Class,Office Supplies,Paper,Xerox 1893,65.584,03-02-2018
RD-19810,Ross DeVincentis,Second Class,Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets,22.2,03-02-2018
RD-19810,Ross DeVincentis,Second Class,Office Supplies,Paper,Xerox 189,419.4,03-02-2018
MC-17575,Matt Collins,Standard Class,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings,5.229,03-02-2018
MC-17575,Matt Collins,Standard Class,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",285.552,03-02-2018
SC-20380,Shahid Collister,Standard Class,Office Supplies,Binders,GBC Instant Report Kit,3.882,03-02-2018
SC-20380,Shahid Collister,Standard Class,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,115.296,03-02-2018
JF-15355,Jay Fein,Standard Class,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,32.67,04-02-2018
CB-12025,Cassandra Brandow,Second Class,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,243.992,05-02-2018
CB-12025,Cassandra Brandow,Second Class,Office Supplies,Art,Staples in misc. colors,7.12,05-02-2018
FC-14335,Fred Chung,Standard Class,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",1640.7,05-02-2018
FC-14335,Fred Chung,Standard Class,Technology,Phones,Geemarc AmpliPOWER60,371.2,05-02-2018
MV-17485,Mark Van Huff,First Class,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",359.97,06-02-2018
BD-11770,Bryan Davis,Standard Class,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",240.784,06-02-2018
SP-20545,Sibella Parks,Standard Class,Technology,Phones,Grandstream GXP1160 VoIP phone,227.46,06-02-2018
SP-20545,Sibella Parks,Standard Class,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",46.24,06-02-2018
SN-20560,Skye Norling,Standard Class,Office Supplies,Paper,Xerox 1947,29.9,06-02-2018
SB-20170,Sarah Bern,Standard Class,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,354.9,09-02-2018
TP-21415,Tom Prescott,Standard Class,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,252.784,09-02-2018
TP-21415,Tom Prescott,Standard Class,Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,127.984,09-02-2018
TP-21415,Tom Prescott,Standard Class,Furniture,Furnishings,Stacking Trays by OIC,3.984,09-02-2018
TP-21415,Tom Prescott,Standard Class,Office Supplies,Appliances,Belkin F9S820V06 8 Outlet Surge,12.992,09-02-2018
ML-17395,Marina Lichtenstein,Second Class,Furniture,Furnishings,"Master Big Foot Doorstop, Beige",21.12,09-02-2018
MN-17935,Michael Nguyen,First Class,Office Supplies,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),23.12,10-02-2018
MP-18175,Mike Pelletier,Standard Class,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",203.983,10-02-2018
CS-11845,Cari Sayre,Second Class,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",963.136,11-02-2018
CS-11845,Cari Sayre,Second Class,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",88.776,11-02-2018
VW-21775,Victoria Wilson,Second Class,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",21.336,11-02-2018
MM-17260,Magdelene Morse,First Class,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",147.568,11-02-2018
DJ-13510,Don Jones,Standard Class,Office Supplies,Labels,Avery 473,20.7,11-02-2018
JP-15460,Jennifer Patt,Standard Class,Office Supplies,Paper,Xerox 1903,17.94,13-02-2018
MH-17455,Mark Hamilton,Standard Class,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",90.64,13-02-2018
FH-14350,Fred Harton,Standard Class,Office Supplies,Art,Newell 311,6.63,13-02-2018
FH-14350,Fred Harton,Standard Class,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,799.96,13-02-2018
FH-14350,Fred Harton,Standard Class,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",107.53,13-02-2018
SV-20785,Stewart Visinsky,Standard Class,Office Supplies,Supplies,Acme Elite Stainless Steel Scissors,25.02,13-02-2018
SV-20785,Stewart Visinsky,Standard Class,Office Supplies,Art,Barrel Sharpener,10.71,13-02-2018
LF-17185,Luke Foster,Standard Class,Office Supplies,Paper,Xerox 1912,37.94,16-02-2018
NG-18355,Nat Gilpin,Standard Class,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,579.51,16-02-2018
NG-18355,Nat Gilpin,Standard Class,Technology,Phones,"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",14.99,16-02-2018
JS-16030,Joy Smith,Standard Class,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",18.368,16-02-2018
JS-16030,Joy Smith,Standard Class,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,16-02-2018
JS-16030,Joy Smith,Standard Class,Office Supplies,Storage,"Tennsco Lockers, Gray",50.352,16-02-2018
JS-16030,Joy Smith,Standard Class,Office Supplies,Art,Newell 312,28.032,16-02-2018
JS-16030,Joy Smith,Standard Class,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",7.692,16-02-2018
CR-12820,Cyra Reiten,First Class,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",89.0664,17-02-2018
CR-12820,Cyra Reiten,First Class,Office Supplies,Art,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",175.44,17-02-2018
CR-12820,Cyra Reiten,First Class,Technology,Phones,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,438.336,17-02-2018
CK-12325,Christine Kargatis,First Class,Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",455.97,17-02-2018
CK-12325,Christine Kargatis,First Class,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",5.715,17-02-2018
CK-12325,Christine Kargatis,First Class,Technology,Phones,Vtech CS6719,57.594,17-02-2018
CK-12325,Christine Kargatis,First Class,Furniture,Furnishings,Flat Face Poster Frame,30.144,17-02-2018
CK-12325,Christine Kargatis,First Class,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,899.43,17-02-2018
LL-16840,Lauren Leatherbury,Second Class,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,29.16,17-02-2018
JK-16120,Julie Kriz,Standard Class,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",480.96,17-02-2018
JK-16120,Julie Kriz,Standard Class,Technology,Phones,LG Exalt,124.792,17-02-2018
GH-14410,Gary Hansen,Standard Class,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",11.76,17-02-2018
GH-14410,Gary Hansen,Standard Class,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,166.45,17-02-2018
CV-12805,Cynthia Voltz,Second Class,Technology,Phones,iHome FM Clock Radio with Lightning Dock,167.976,18-02-2018
CV-12805,Cynthia Voltz,Second Class,Technology,Accessories,Memorex Micro Travel Drive 32 GB,109.53,18-02-2018
CV-12805,Cynthia Voltz,Second Class,Office Supplies,Labels,Avery 493,9.82,18-02-2018
ED-13885,Emily Ducich,First Class,Office Supplies,Art,Newell 320,12.84,19-02-2018
ED-13885,Emily Ducich,First Class,Furniture,Furnishings,Tensor Computer Mounted Lamp,44.67,19-02-2018
NH-18610,Nicole Hansen,Second Class,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,1245.86,19-02-2018
ME-17725,Max Engle,Standard Class,Office Supplies,Fasteners,Rubber Band Ball,11.22,19-02-2018
HW-14935,Helen Wasserman,First Class,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",22.23,20-02-2018
HW-14935,Helen Wasserman,First Class,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,215.968,20-02-2018
JP-16135,Julie Prescott,Standard Class,Office Supplies,Art,Newell 351,6.56,20-02-2018
JP-16135,Julie Prescott,Standard Class,Office Supplies,Appliances,Disposable Triple-Filter Dust Bags,13.11,20-02-2018
BP-11095,Bart Pistole,Second Class,Office Supplies,Fasteners,Staples,9.432,20-02-2018
KM-16375,Katherine Murray,Standard Class,Technology,Phones,Toshiba IPT2010-SD IP Telephone,333.576,20-02-2018
