Customer ID,Customer Name,Ship Mode,Postal Code,Category,Sub-Category,Product Name,Sales
CP-12085,Cathy Prescott,Second Class,65807,Office Supplies,Paper,Xerox 23,32.4
CP-12085,Cathy Prescott,Second Class,65807,Office Supplies,Art,Hunt Boston Vacuum Mount KS Pencil Sharpener,209.94
CP-12085,Cathy Prescott,Second Class,65807,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4164.05
CP-12085,Cathy Prescott,Second Class,65807,Furniture,Bookcases,"Hon Metal Bookcases, Black",212.94
RB-19570,Rob Beeghly,First Class,28540,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",21.744
RB-19570,Rob Beeghly,First Class,28540,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,7.92
TP-21565,Tracy Poddar,First Class,80013,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,169.064
TP-21565,Tracy Poddar,First Class,80013,Office Supplies,Storage,Mobile Personal File Cube,168.624
BH-11710,Brosina Hoffman,Standard Class,37604,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",18.336
BH-11710,Brosina Hoffman,Standard Class,37604,Office Supplies,Paper,Xerox 1931,36.288
BH-11710,Brosina Hoffman,Standard Class,37604,Technology,Phones,iHome FM Clock Radio with Lightning Dock,111.984
BH-11710,Brosina Hoffman,Standard Class,37604,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,5.97
BH-11710,Brosina Hoffman,Standard Class,37604,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,2.508
SO-20335,Sean O'Donnell,Standard Class,90036,Office Supplies,Paper,Xerox 19,154.9
RW-19690,Robert Waldorf,First Class,19134,Office Supplies,Appliances,Belkin F9M820V08 8 Outlet Surge,34.384
RW-19690,Robert Waldorf,First Class,19134,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1924.16
TB-21250,Tim Brockman,First Class,78745,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",32.784
TB-21250,Tim Brockman,First Class,78745,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,47.984
TB-21250,Tim Brockman,First Class,78745,Technology,Accessories,"Maxell 74 Minute CDR, 10/Pack",62.592
TB-21250,Tim Brockman,First Class,78745,Office Supplies,Binders,Acco D-Ring Binder w/DublLock,4.276
SC-20095,Sanjit Chand,Standard Class,2169,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",12.7
TT-21460,Tonja Turnell,Standard Class,90008,Office Supplies,Art,Newell 347,21.4
JO-15145,Jack O'Briant,Same Day,90008,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",27.92
JO-15145,Jack O'Briant,Same Day,90008,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",399.672
AR-10540,Andy Reiter,Second Class,49201,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,5443.96
AR-10540,Andy Reiter,Second Class,49201,Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,302.67
AR-10540,Andy Reiter,Second Class,49201,Office Supplies,Paper,"TOPS Money Receipt Book, Consecutively Numbered in Red,",56.07
DL-12865,Dan Lawera,Second Class,76248,Office Supplies,Labels,Avery 510,6
RM-19375,Raymond Messe,Standard Class,,Office Supplies,Paper,Xerox 191,79.92
RM-19375,Raymond Messe,Standard Class,,Office Supplies,Paper,Xerox 1881,12.28
RM-19375,Raymond Messe,Standard Class,,Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,542.94
RM-19375,Raymond Messe,Standard Class,,Office Supplies,Envelopes,Poly String Tie Envelopes,2.04
NS-18505,Neola Schneider,Second Class,19140,Technology,Phones,Wilson Electronics DB Pro Signal Booster,429.6
NS-18505,Neola Schneider,Second Class,19140,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,31.968
NS-18505,Neola Schneider,Second Class,19140,Furniture,Chairs,Global Comet Stacking Arm Chair,887.271
NS-18505,Neola Schneider,Second Class,19140,Office Supplies,Paper,Strathmore Photo Mount Cards,21.696
ML-17410,Maris LaWare,First Class,60653,Office Supplies,Labels,Avery File Folder Labels,11.52
CV-12805,Cynthia Voltz,Second Class,10024,Furniture,Chairs,Global Deluxe Steno Chair,207.846
TM-21010,Tamara Manning,Standard Class,94122,Office Supplies,Art,Staples in misc. colors,24.2
TM-21010,Tamara Manning,Standard Class,94122,Technology,Phones,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,359.976
TH-21100,Thea Hendricks,Standard Class,90045,Technology,Phones,RCA Visys Integrated PBX 8-Line Router,160.776
JF-15490,Jeremy Farry,Standard Class,6708,Office Supplies,Art,Newell 326,3.52
DS-13030,Darrin Sayre,Standard Class,98115,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,242.94
DS-13030,Darrin Sayre,Standard Class,98115,Technology,Accessories,Logitech Illuminated - Keyboard,179.97
DS-13030,Darrin Sayre,Standard Class,98115,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,99.696
DS-13030,Darrin Sayre,Standard Class,98115,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,27.936
DS-13030,Darrin Sayre,Standard Class,98115,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,84.98
DS-13030,Darrin Sayre,Standard Class,98115,Office Supplies,Binders,Acco Translucent Poly Ring Binders,18.72
BE-11410,Bobby Elias,Standard Class,60505,Office Supplies,Envelopes,Airmail Envelopes,268.576
PS-19045,Penelope Sewall,Standard Class,28205,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",348.208
PS-19045,Penelope Sewall,Standard Class,28205,Office Supplies,Binders,GBC Recycled VeloBinder Covers,35.784
MH-18115,Mick Hernandez,Standard Class,49201,Office Supplies,Binders,Avery Durable Binders,14.4
MH-18115,Mick Hernandez,Standard Class,49201,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,619.95
MH-18115,Mick Hernandez,Standard Class,49201,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",89.52
MH-18115,Mick Hernandez,Standard Class,49201,Technology,Machines,I.R.I.S IRISCard Anywhere 5 Card Scanner,350.973
MH-18115,Mick Hernandez,Standard Class,49201,Technology,Phones,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",164.99
EH-13765,Edward Hooks,Second Class,60623,Office Supplies,Fasteners,Staples,15.12
EH-13765,Edward Hooks,Second Class,60623,Office Supplies,Art,Newell 348,7.872
AD-10180,Alan Dominguez,Standard Class,59405,Technology,Copiers,Canon Image Class D660 Copier,2999.95
AD-10180,Alan Dominguez,Standard Class,59405,Office Supplies,Storage,Advantus Rolling Storage Box,51.45
AD-10180,Alan Dominguez,Standard Class,59405,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),11.96
AD-10180,Alan Dominguez,Standard Class,59405,Office Supplies,Storage,Tennsco Single-Tier Lockers,1126.02
MC-17605,Matt Connell,First Class,48234,Furniture,Tables,Balt Solid Wood Rectangular Table,210.98
HP-14815,Harold Pawlan,Standard Class,85705,Technology,Accessories,Logitech Wireless Anywhere Mouse MX for PC and Mac,95.984
HP-14815,Harold Pawlan,Standard Class,85705,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,4.938
CS-12250,Chris Selesnick,Standard Class,98103,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,19.68
CS-12250,Chris Selesnick,Standard Class,98103,Office Supplies,Paper,Xerox 212,25.92
CS-12250,Chris Selesnick,Standard Class,98103,Office Supplies,Paper,Xerox 192,6.48
CS-12250,Chris Selesnick,Standard Class,98103,Technology,Phones,Griffin GC17055 Auxiliary Audio Cable,86.352
KD-16495,Keith Dawkins,Standard Class,95123,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",25.86
KD-16495,Keith Dawkins,Standard Class,95123,Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,276.784
KD-16495,Keith Dawkins,Standard Class,95123,Technology,Phones,Jensen SMPS-640 - speaker phone,110.352
TP-21130,Theone Pippenger,Standard Class,30080,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,5.67
CG-12520,Claire Gute,First Class,77070,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",18.16
CJ-12010,Caroline Jumper,Standard Class,94109,Office Supplies,Fasteners,Binder Clips by OIC,11.84
CA-11965,Carol Adams,Second Class,35244,Office Supplies,Art,Newell 311,15.47
CA-11965,Carol Adams,Second Class,35244,Office Supplies,Binders,Avery Poly Binder Pockets,7.16
BD-11500,Bradley Drucker,Standard Class,31907,Furniture,Furnishings,Artistic Insta-Plaque,62.72
BD-11500,Bradley Drucker,Standard Class,31907,Technology,Phones,Samsung Galaxy Mega 6.3,2939.93
JH-15820,John Huston,Second Class,44240,Office Supplies,Art,Newell 312,14.016
JH-15820,John Huston,Second Class,44240,Technology,Accessories,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,71.976
JH-15820,John Huston,Second Class,44240,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,107.982
TG-21310,Toby Gnade,Standard Class,10035,Technology,Phones,Jensen SMPS-640 - speaker phone,137.94
BT-11305,Beth Thompson,Second Class,92627,Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display,239.97
BT-11305,Beth Thompson,Second Class,92627,Furniture,Furnishings,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",37.74
GB-14575,Giulietta Baptist,Standard Class,67212,Office Supplies,Paper,Xerox 1934,279.9
CL-12700,Craig Leslie,Standard Class,10009,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,449.91
BD-11770,Bryan Davis,First Class,19120,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.768
CK-12595,Clytie Kelty,Standard Class,60653,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",12.128
VG-21790,Vivek Gonzalez,Standard Class,94109,Office Supplies,Art,Newell 339,8.34
VG-21790,Vivek Gonzalez,Standard Class,94109,Office Supplies,Supplies,Acme Office Executive Series Stainless Steel Trimmers,8.57
VG-21790,Vivek Gonzalez,Standard Class,94109,Office Supplies,Binders,Clear Mylar Reinforcing Strips,119.616
RD-19585,Rob Dowd,Standard Class,10011,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,5.22
MM-17920,Michael Moore,Same Day,94109,Office Supplies,Storage,Space Solutions Commercial Steel Shelving,129.3
SZ-20035,Sam Zeldin,First Class,98105,Technology,Phones,Mitel 5320 IP Phone VoIP phone,604.768
EB-13870,Emily Burns,Standard Class,33142,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",419.136
BV-11245,Benjamin Venier,Standard Class,50315,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,18.28
BV-11245,Benjamin Venier,Standard Class,50315,Technology,Phones,AT&T 841000 Phone,207
BV-11245,Benjamin Venier,Standard Class,50315,Office Supplies,Binders,GBC Instant Report Kit,32.35
BV-11245,Benjamin Venier,Standard Class,50315,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,7.71
BV-11245,Benjamin Venier,Standard Class,50315,Office Supplies,Art,Boston 19500 Mighty Mite Electric Pencil Sharpener,40.3
BV-11245,Benjamin Venier,Standard Class,50315,Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",34.58
EH-14125,Eugene Hildebrand,Standard Class,94110,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",12.74
EH-14125,Eugene Hildebrand,Standard Class,94110,Office Supplies,Art,Newell 338,8.82
EH-14125,Eugene Hildebrand,Standard Class,94110,Furniture,Chairs,Novimex Swivel Fabric Task Chair,120.784
LP-17095,Liz Preis,Standard Class,60505,Furniture,Tables,Balt Split Level Computer Training Table,69.375
LP-17095,Liz Preis,Standard Class,60505,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,31.68
LP-17095,Liz Preis,Standard Class,60505,Technology,Phones,Samsung Galaxy S4,2003.168
LP-17095,Liz Preis,Standard Class,60505,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",9.344
DW-13585,Dorothy Wardle,First Class,43229,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
DW-13585,Dorothy Wardle,First Class,43229,Office Supplies,Paper,Xerox 1916,78.304
DW-13585,Dorothy Wardle,First Class,43229,Office Supplies,Fasteners,Staples,21.456
JL-15835,John Lee,Standard Class,90045,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",86.26
JL-15835,John Lee,Standard Class,90045,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",139.04
JL-15835,John Lee,Standard Class,90045,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,46.8
BO-11350,Bill Overfelt,Standard Class,92105,Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,210.58
BO-11350,Bill Overfelt,Standard Class,92105,Office Supplies,Binders,GBC Durable Plastic Covers,30.96
BO-11350,Bill Overfelt,Standard Class,92105,Technology,Machines,"HP Officejet Pro 8600 e-All-In-One Printer, Copier, Scanner, Fax",239.984
RD-19810,Ross DeVincentis,Second Class,60610,Office Supplies,Paper,Xerox 2,5.184
RD-19810,Ross DeVincentis,Second Class,60610,Office Supplies,Paper,Xerox 1893,65.584
RD-19810,Ross DeVincentis,Second Class,60610,Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets,22.2
RD-19810,Ross DeVincentis,Second Class,60610,Office Supplies,Paper,Xerox 189,419.4
MC-17575,Matt Collins,Standard Class,45231,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings,5.229
MC-17575,Matt Collins,Standard Class,45231,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",285.552
SC-20380,Shahid Collister,Standard Class,33024,Office Supplies,Binders,GBC Instant Report Kit,3.882
SC-20380,Shahid Collister,Standard Class,33024,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,115.296
JF-15355,Jay Fein,Standard Class,14609,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,32.67
CB-12025,Cassandra Brandow,Second Class,76706,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,243.992
CB-12025,Cassandra Brandow,Second Class,76706,Office Supplies,Art,Staples in misc. colors,7.12
FC-14335,Fred Chung,Standard Class,90503,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",1640.7
FC-14335,Fred Chung,Standard Class,90503,Technology,Phones,Geemarc AmpliPOWER60,371.2
MV-17485,Mark Van Huff,First Class,22204,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",359.97
BD-11770,Bryan Davis,Standard Class,10024,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",240.784
SP-20545,Sibella Parks,Standard Class,10024,Technology,Phones,Grandstream GXP1160 VoIP phone,227.46
SP-20545,Sibella Parks,Standard Class,10024,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",46.24
SN-20560,Skye Norling,Standard Class,94109,Office Supplies,Paper,Xerox 1947,29.9
SB-20170,Sarah Bern,Standard Class,90032,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,354.9
TP-21415,Tom Prescott,Standard Class,77070,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,252.784
TP-21415,Tom Prescott,Standard Class,77070,Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,127.984
TP-21415,Tom Prescott,Standard Class,77070,Furniture,Furnishings,Stacking Trays by OIC,3.984
TP-21415,Tom Prescott,Standard Class,77070,Office Supplies,Appliances,Belkin F9S820V06 8 Outlet Surge,12.992
ML-17395,Marina Lichtenstein,Second Class,90045,Furniture,Furnishings,"Master Big Foot Doorstop, Beige",21.12
MN-17935,Michael Nguyen,First Class,20735,Office Supplies,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),23.12
MP-18175,Mike Pelletier,Standard Class,92677,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",203.983
CS-11845,Cari Sayre,Second Class,98105,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",963.136
CS-11845,Cari Sayre,Second Class,98105,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",88.776
VW-21775,Victoria Wilson,Second Class,94110,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",21.336
MM-17260,Magdelene Morse,First Class,43229,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",147.568
DJ-13510,Don Jones,Standard Class,10024,Office Supplies,Labels,Avery 473,20.7
JP-15460,Jennifer Patt,Standard Class,10009,Office Supplies,Paper,Xerox 1903,17.94
MH-17455,Mark Hamilton,Standard Class,55407,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",90.64
FH-14350,Fred Harton,Standard Class,98105,Office Supplies,Art,Newell 311,6.63
FH-14350,Fred Harton,Standard Class,98105,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,799.96
FH-14350,Fred Harton,Standard Class,98105,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",107.53
SV-20785,Stewart Visinsky,Standard Class,21215,Office Supplies,Supplies,Acme Elite Stainless Steel Scissors,25.02
SV-20785,Stewart Visinsky,Standard Class,21215,Office Supplies,Art,Barrel Sharpener,10.71
LF-17185,Luke Foster,Standard Class,10035,Office Supplies,Paper,Xerox 1912,37.94
NG-18355,Nat Gilpin,Standard Class,6824,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,579.51
NG-18355,Nat Gilpin,Standard Class,6824,Technology,Phones,"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",14.99
JS-16030,Joy Smith,Standard Class,62521,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",18.368
JS-16030,Joy Smith,Standard Class,62521,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558
JS-16030,Joy Smith,Standard Class,62521,Office Supplies,Storage,"Tennsco Lockers, Gray",50.352
JS-16030,Joy Smith,Standard Class,62521,Office Supplies,Art,Newell 312,28.032
JS-16030,Joy Smith,Standard Class,62521,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",7.692
CR-12820,Cyra Reiten,First Class,77041,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",89.0664
CR-12820,Cyra Reiten,First Class,77041,Office Supplies,Art,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",175.44
CR-12820,Cyra Reiten,First Class,77041,Technology,Phones,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,438.336
CK-12325,Christine Kargatis,First Class,45373,Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",455.97
CK-12325,Christine Kargatis,First Class,45373,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",5.715
CK-12325,Christine Kargatis,First Class,45373,Technology,Phones,Vtech CS6719,57.594
CK-12325,Christine Kargatis,First Class,45373,Furniture,Furnishings,Flat Face Poster Frame,30.144
CK-12325,Christine Kargatis,First Class,45373,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,899.43
LL-16840,Lauren Leatherbury,Second Class,70506,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,29.16
JK-16120,Julie Kriz,Standard Class,60653,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",480.96
JK-16120,Julie Kriz,Standard Class,60653,Technology,Phones,LG Exalt,124.792
GH-14410,Gary Hansen,Standard Class,8861,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",11.76
GH-14410,Gary Hansen,Standard Class,8861,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,166.45
CV-12805,Cynthia Voltz,Second Class,90045,Technology,Phones,iHome FM Clock Radio with Lightning Dock,167.976
CV-12805,Cynthia Voltz,Second Class,90045,Technology,Accessories,Memorex Micro Travel Drive 32 GB,109.53
CV-12805,Cynthia Voltz,Second Class,90045,Office Supplies,Labels,Avery 493,9.82
ED-13885,Emily Ducich,First Class,90045,Office Supplies,Art,Newell 320,12.84
ED-13885,Emily Ducich,First Class,90045,Furniture,Furnishings,Tensor Computer Mounted Lamp,44.67
NH-18610,Nicole Hansen,Second Class,30076,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,1245.86
ME-17725,Max Engle,Standard Class,98103,Office Supplies,Fasteners,Rubber Band Ball,11.22
HW-14935,Helen Wasserman,First Class,92105,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",22.23
HW-14935,Helen Wasserman,First Class,92105,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,215.968
JP-16135,Julie Prescott,Standard Class,74403,Office Supplies,Art,Newell 351,6.56
JP-16135,Julie Prescott,Standard Class,74403,Office Supplies,Appliances,Disposable Triple-Filter Dust Bags,13.11
BP-11095,Bart Pistole,Second Class,80027,Office Supplies,Fasteners,Staples,9.432
KM-16375,Katherine Murray,Standard Class,85234,Technology,Phones,Toshiba IPT2010-SD IP Telephone,333.576
KM-16375,Katherine Murray,Standard Class,85234,Technology,Accessories,Microsoft Wireless Mobile Mouse 4000,31.992
KM-16375,Katherine Murray,Standard Class,85234,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,51.168
KM-16375,Katherine Murray,Standard Class,85234,Office Supplies,Envelopes,Letter or Legal Size Expandable Poly String Tie Envelopes,10.64
KM-16375,Katherine Murray,Standard Class,85234,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",68.704
KM-16375,Katherine Murray,Standard Class,85234,Furniture,Tables,KI Adjustable-Height Table,386.91
DK-13090,Dave Kipp,Standard Class,75007,Technology,Accessories,Microsoft Natural Keyboard Elite,47.904
CK-12595,Clytie Kelty,Standard Class,90008,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",37.44
AC-10615,Ann Chong,Standard Class,98115,Office Supplies,Fasteners,Alliance Rubber Bands,8.4
AC-10615,Ann Chong,Standard Class,98115,Technology,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,71.96
CB-12415,Christy Brittain,Standard Class,19134,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",4.956
ES-14080,Erin Smith,Standard Class,19134,Office Supplies,Paper,Xerox 1988,123.92
ES-14080,Erin Smith,Standard Class,19134,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,1319.8
SW-20245,Scot Wooten,Standard Class,27834,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",196.784
SW-20245,Scot Wooten,Standard Class,27834,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",231.92
MH-18025,Michelle Huthwaite,Standard Class,60623,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788
